Team ID,Name,Short Name,Crest,Coach Name
66,Manchester United FC,Man United,https://crests.football-data.org/66.png,Erik ten Hag
63,Fulham FC,Fulham,https://crests.football-data.org/63.png,Marco Silva
349,Ipswich Town FC,Ipswich Town,https://crests.football-data.org/349.png,
64,Liverpool FC,Liverpool,https://crests.football-data.org/64.png,
57,Arsenal FC,Arsenal,https://crests.football-data.org/57.png,Mikel Arteta
76,Wolverhampton Wanderers FC,Wolverhampton,https://crests.football-data.org/76.png,Gary O'Neil
62,Everton FC,Everton,https://crests.football-data.org/62.png,
397,Brighton & Hove Albion FC,Brighton Hove,https://crests.football-data.org/397.png,
67,Newcastle United FC,Newcastle,https://crests.football-data.org/67.png,
340,Southampton FC,Southampton,https://crests.football-data.org/340.png,
351,Nottingham Forest FC,Nottingham,https://crests.football-data.org/351.png,
1044,AFC Bournemouth,Bournemouth,https://crests.football-data.org/bournemouth.png,
563,West Ham United FC,West Ham,https://crests.football-data.org/563.png,Julen Lopetegui
58,Aston Villa FC,Aston Villa,https://crests.football-data.org/58.png,Unai Emery
402,Brentford FC,Brentford,https://crests.football-data.org/402.png,
354,Crystal Palace FC,Crystal Palace,https://crests.football-data.org/354.png,
61,Chelsea FC,Chelsea,https://crests.football-data.org/61.png,Enzo Maresca
65,Manchester City FC,Man City,https://crests.football-data.org/65.png,Pep Guardiola
338,Leicester City FC,Leicester City,https://crests.football-data.org/338.png,
73,Tottenham Hotspur FC,Tottenham,https://crests.football-data.org/73.png,
